OBJECTID,GU_NAM,F_SHIM,F_DISA_NM,F_AVR_HGT,F_AREA,ADM_CD,F_SAT_YMD,F_END_YMD,F_SAT_TM,F_END_TM,F_RSN_DTL,F_ZONE_NM,INV_YR,F_YR,TYPE,OBJECTID_1,OBJECTID_2,BASE_YEAR,ADM_CD_2,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
"1833",영등포구,0.30,2022년 8.8 ~17. 호우,21.55,203.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 114-11,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1859",영등포구,0.30,2022년 8.8 ~17. 호우,21.45,186.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 114-13,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"4650",영등포구,0.30,2022년 8.8 ~17. 호우,17.50,2078.06,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구도림동 136-26,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1813",영등포구,0.30,2022년 8.8 ~17. 호우,19.70,133.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 73-2,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1814",영등포구,0.30,2022년 8.8 ~17. 호우,19.73,79.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 73-5,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1815",영등포구,0.30,2022년 8.8 ~17. 호우,21.37,199.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 91-1,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1810",영등포구,0.30,2022년 8.8 ~17. 호우,24.19,132.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 94-3,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1808",영등포구,0.30,2022년 8.8 ~17. 호우,18.85,165.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 104-3,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1817",영등포구,0.30,2022년 8.8 ~17. 호우,17.98,93.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 82-16,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1818",영등포구,0.30,2022년 8.8 ~17. 호우,17.88,72.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 82-15,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1819",영등포구,0.30,2022년 8.8 ~17. 호우,18.71,171.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 103-10,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1820",영등포구,0.30,2022년 8.8 ~17. 호우,18.06,78.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 82-14,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1811",영등포구,0.30,2022년 8.8 ~17. 호우,18.28,132.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 82-13,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1812",영등포구,0.30,2022년 8.8 ~17. 호우,18.46,100.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 82-3,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1821",영등포구,0.30,2022년 8.8 ~17. 호우,17.08,33.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 81-13,"2022","2022",상가,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1822",영등포구,0.30,2022년 8.8 ~17. 호우,17.43,93.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 81-4,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
