UFID,NAME,DIVI,QUAL,UDDI,LENG,HEIG,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037612007C0051c85fe1d3b6c94546,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"330",330.00000000000,"2016","1121069",신림동,536815.22107500001,"11620",관악구,"22682"
100037612008C00516fb6b1d27b0d468a,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C00516fb6b1d27b0d468a,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"328",328.00000000000,"2016","1121066",서림동,940546.69252899999,"11620",관악구,"24721"
100037612008C0051b8eb8c48deeb471b,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C0051b8eb8c48deeb471b,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2111496,"328",328.00000000000,"2016","1121066",서림동,940546.69252899999,"11620",관악구,"24721"
100037612008C00514eb1e1b7db544975,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"328",328.00000000000,"2016","1121066",서림동,940546.69252899999,"11620",관악구,"24721"
100037612008C005107b9f678c993486e,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C00511bca0efb216f451b,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C0051048650cf45074fc0,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"336",336.00000000000,"2016","1121080",청룡동,1194718.05765999993,"11620",관악구,"30997"
100037612008C0051472ed4ed0e2d4dfc,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"336",336.00000000000,"2016","1121080",청룡동,1194718.05765999993,"11620",관악구,"30997"
