UFID,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037612018C0071c71e3650ee6e43f9,C0076116,S2114478,"328",328.00000000000,"2016","1121066",서림동,940546.69252899999,"11620",관악구,"24721"
100037612017C0071c6e65e7f4e404d46,C0076116,S2114478,"284",284.00000000000,"2016","1118060",시흥4동,821138.77387999999,"11545",금천구,"22349"
100037612017C00719ee2f3f915454272,C0076116,S2114478,"331",331.00000000000,"2016","1121071",난향동,820792.03567899996,"11620",관악구,"16541"
100037612017C0071305da694b64d4b57,C0076116,S2114478,"339",339.00000000000,"2016","1121083",미성동,1358429.70487000002,"11620",관악구,"33001"
100037612017C0071dba7e704aa374332,C0076116,S2114478,"339",339.00000000000,"2016","1121083",미성동,1358429.70487000002,"11620",관악구,"33001"
100037612017C007187b1139d561940bc,C0076116,S2114478,"331",331.00000000000,"2016","1121071",난향동,820792.03567899996,"11620",관악구,"16541"
100037612017C007171ac9a6c40724dd2,C0076116,S2114478,"337",337.00000000000,"2016","1121081",난곡동,971656.55288099998,"11620",관악구,"29314"
100037612017C0071eb405cb1b01e4a8d,C0076116,S2114478,"331",331.00000000000,"2016","1121071",난향동,820792.03567899996,"11620",관악구,"16541"
100037612017C00713fc12c3adb2c439b,C0076116,S2114478,"282",282.00000000000,"2016","1118058",시흥2동,1307918.06698999996,"11545",금천구,"22861"
100037612017C0071476a4e3060714cd2,C0076116,S2114478,"282",282.00000000000,"2016","1118058",시흥2동,1307918.06698999996,"11545",금천구,"22861"
100037612017C0071fb0654c28a9f44fe,C0076116,S2114478,"339",339.00000000000,"2016","1121083",미성동,1358429.70487000002,"11620",관악구,"33001"
100037612017C00710247f71ea25f4939,C0076116,S2114478,"339",339.00000000000,"2016","1121083",미성동,1358429.70487000002,"11620",관악구,"33001"
100037612017C0071e8bd61a346624b02,C0076116,S2114478,"331",331.00000000000,"2016","1121071",난향동,820792.03567899996,"11620",관악구,"16541"
100037612017C007196461cc928b14e87,C0076116,S2114478,"285",285.00000000000,"2016","1118061",시흥5동,1385757.57915999996,"11545",금천구,"21186"
100037612017C0071e64d612c709c481c,C0076116,S2114478,"285",285.00000000000,"2016","1118061",시흥5동,1385757.57915999996,"11545",금천구,"21186"
100037612017C00716346af4858e644a4,C0076116,S2114478,"284",284.00000000000,"2016","1118060",시흥4동,821138.77387999999,"11545",금천구,"22349"
100037612016C0071406953da9168428e,C0076116,S2114478,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C00711f7d5e6d3fcb4615,C0076116,S2114478,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C0071fbba962d163340e0,C0076116,S2114478,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612020C007144a64625d6324fe4,C0076116,S2114478,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020C00719c524f736a4d43a4,C0076116,S2114478,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612019C0071ad5b424389164e89,C0076116,S2114478,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C00710bd472a5e50b441e,C0076116,S2114478,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C00713851726ffd794047,C0076116,S2114478,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C007102e7ec5825544d36,C0076116,S2114478,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C0071f2f56198d6ba4f48,C0076116,S2114478,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612019C0071ef94fdb7e47c48a1,C0076116,S2114478,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C0071263f251803bd46ec,C0076116,S2114478,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612019C007102d28ab131084a57,C0076116,S2114478,"324",324.00000000000,"2016","1121062",인헌동,1088265.90537999989,"11620",관악구,"27297"
100037612019C007148341b2d1de4490b,C0076116,S2114478,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C00712d9614b1006e448f,C0076116,S2114478,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C007177affc59c7ef4a71,C0076116,S2114478,"324",324.00000000000,"2016","1121062",인헌동,1088265.90537999989,"11620",관악구,"27297"
