ALIAS,REMARK,NTFDATE,SGG_OID,COL_ADM_SE,MNUM,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
자연보존지구,,,"355","11410",14800001141020090107UMB1000021000,"3",3.00000000000,"2016","1101055",부암동,2272861.94792000018,"11110",종로구,"10477"
자연보존지구,,,"355","11410",14800001141020090107UMB1000021000,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
자연보존지구,,,"356","11410",14800001141020090107UMB1000022000,"3",3.00000000000,"2016","1101055",부암동,2272861.94792000018,"11110",종로구,"10477"
자연보존지구,,,"356","11410",14800001141020090107UMB1000022000,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
자연보존지구,,,"357","11410",14800001141020090107UMB1000023000,"3",3.00000000000,"2016","1101055",부암동,2272861.94792000018,"11110",종로구,"10477"
자연보존지구,,,"357","11410",14800001141020090107UMB1000023000,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
자연보존지구,,,"358","11410",14800001141020090107UMB1000024000,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
,,,"359","11410",14800001141020110193UMB2000001001,"3",3.00000000000,"2016","1101055",부암동,2272861.94792000018,"11110",종로구,"10477"
,,,"359","11410",14800001141020110193UMB2000001001,"195",195.00000000000,"2016","1113064",홍제3동,1191622.98043000000,"11410",서대문구,"16538"
,,,"359","11410",14800001141020110193UMB2000001001,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
