,AREA,PERIMETER,ELEVATION
512,201925.31,548179.91,4.18
513,201925.31,548089.91,3.95
514,201925.31,547999.91,4.85
515,201925.31,547909.91,9.21
516,201925.31,547819.91,15.45
517,201925.31,547729.91,18.04
518,201925.31,547639.91,17.32
519,201925.31,547549.91,16.58
520,201925.31,547459.91,15.91
521,201925.31,547369.91,15.19
522,201925.31,547279.91,14.73
523,201925.31,547189.91,14.03
524,201925.31,547099.91,14.74
525,201925.31,547009.91,16.22
526,201925.31,546919.91,17.15
527,201925.31,546829.91,17.91
528,201925.31,546739.91,18.63
529,201925.31,546649.91,18.97
530,201925.31,546559.91,19.6
531,201925.31,546469.91,20.83
532,201925.31,546379.91,28.94
533,201925.31,546289.91,38.87
534,201925.31,546199.91,44.66
535,201925.31,546109.91,46.91
536,201925.31,546019.91,43.63
537,201925.31,545929.91,36.68
538,201925.31,545839.91,31.24
539,201925.31,545749.91,27.27
540,201925.31,545659.91,21.97
541,201925.31,545569.91,18.48
542,201925.31,545479.91,16.86
543,201925.31,545389.91,15.47
544,201925.31,545299.91,14.57
545,201925.31,545209.91,13.98
546,201925.31,545119.91,13.8
547,201925.31,545029.91,14.11
548,201925.31,544939.91,14.45
549,201925.31,544849.91,13.87
550,201925.31,544759.91,12.96
551,201925.31,544669.91,12.71
552,201925.31,544579.91,12.78
553,201925.31,544489.91,12.66
554,201925.31,544399.91,13.37
555,202015.31,548899.91,5.26
556,202015.31,548809.91,5.25
557,202015.31,548719.91,5.21
558,202015.31,548629.91,5.14
559,202015.31,548539.91,4.97
560,202015.31,548449.91,4.77
561,202015.31,548359.91,4.58
562,202015.31,548269.91,4.35
563,202015.31,548179.91,4.14
564,202015.31,548089.91,5.27
565,202015.31,547999.91,10.26
566,202015.31,547909.91,16.0
567,202015.31,547819.91,17.57
568,202015.31,547729.91,16.85
569,202015.31,547639.91,16.57
570,202015.31,547549.91,16.49
571,202015.31,547459.91,16.2
572,202015.31,547369.91,15.6
573,202015.31,547279.91,15.03
574,202015.31,547189.91,14.38
575,202015.31,547099.91,14.72
576,202015.31,547009.91,15.75
577,202015.31,546919.91,17.15
578,202015.31,546829.91,18.68
579,202015.31,546739.91,20.58
580,202015.31,546649.91,22.43
581,202015.31,546559.91,23.31
582,202015.31,546469.91,23.95
583,202015.31,546379.91,34.04
584,202015.31,546289.91,45.08
585,202015.31,546199.91,48.12
586,202015.31,546109.91,48.79
587,202015.31,546019.91,45.37
588,202015.31,545929.91,38.06
589,202015.31,545839.91,31.62
590,202015.31,545749.91,27.72
591,202015.31,545659.91,21.79
592,202015.31,545569.91,17.34
593,202015.31,545479.91,15.89
594,202015.31,545389.91,15.27
595,202015.31,545299.91,14.99
596,202015.31,545209.91,15.3
597,202015.31,545119.91,15.88
598,202015.31,545029.91,17.12
599,202015.31,544939.91,17.68
600,202015.31,544849.91,16.08
601,202015.31,544759.91,14.22
602,202015.31,544669.91,13.39
603,202015.31,544579.91,12.97
604,202015.31,544489.91,12.76
605,202015.31,544399.91,13.25
606,202015.31,544309.91,14.26
607,202015.31,544219.91,13.07
608,202105.31,548899.91,5.11
609,202105.31,548809.91,5.12
610,202105.31,548719.91,5.1
611,202105.31,548629.91,5.05
612,202105.31,548539.91,4.9
613,202105.31,548449.91,4.73
614,202105.31,548359.91,4.55
615,202105.31,548269.91,4.32
616,202105.31,548179.91,6.47
617,202105.31,548089.91,11.7
618,202105.31,547999.91,17.65
619,202105.31,547909.91,19.43
620,202105.31,547819.91,17.73
621,202105.31,547729.91,16.78
622,202105.31,547639.91,16.85
623,202105.31,547549.91,16.76
624,202105.31,547459.91,16.4
625,202105.31,547369.91,15.84
626,202105.31,547279.91,14.92
627,202105.31,547189.91,14.43
628,202105.31,547099.91,14.87
629,202105.31,547009.91,15.78
630,202105.31,546919.91,17.54
631,202105.31,546829.91,20.15
632,202105.31,546739.91,23.37
633,202105.31,546649.91,26.3
634,202105.31,546559.91,27.88
635,202105.31,546469.91,28.97
636,202105.31,546379.91,37.28
637,202105.31,546289.91,48.69
638,202105.31,546199.91,52.82
639,202105.31,546109.91,49.95
640,202105.31,546019.91,44.34
641,202105.31,545929.91,38.16
642,202105.31,545839.91,32.01
643,202105.31,545749.91,29.53
644,202105.31,545659.91,23.33
645,202105.31,545569.91,17.35
646,202105.31,545479.91,15.25
647,202105.31,545389.91,14.67
648,202105.31,545299.91,14.88
649,202105.31,545209.91,16.32
650,202105.31,545119.91,17.83
651,202105.31,545029.91,19.45
652,202105.31,544939.91,19.92
653,202105.31,544849.91,17.83
654,202105.31,544759.91,15.36
655,202105.31,544669.91,14.45
656,202105.31,544579.91,14.03
657,202105.31,544489.91,13.71
658,202105.31,544399.91,13.83
659,202105.31,544309.91,14.07
660,202105.31,544219.91,12.86
661,202105.31,544129.91,12.91
662,202105.31,544039.91,14.17
663,202195.31,548899.91,4.99
664,202195.31,548809.91,5.01
665,202195.31,548719.91,5.0
666,202195.31,548629.91,4.97
667,202195.31,548539.91,4.85
668,202195.31,548449.91,4.71
669,202195.31,548359.91,4.54
670,202195.31,548269.91,6.87
671,202195.31,548179.91,13.92
672,202195.31,548089.91,19.33
673,202195.31,547999.91,19.67
674,202195.31,547909.91,19.29
675,202195.31,547819.91,18.46
676,202195.31,547729.91,17.42
677,202195.31,547639.91,17.31
678,202195.31,547549.91,17.13
679,202195.31,547459.91,16.79
680,202195.31,547369.91,16.52
681,202195.31,547279.91,15.48
682,202195.31,547189.91,14.51
683,202195.31,547099.91,14.74
684,202195.31,547009.91,15.62
685,202195.31,546919.91,16.6
686,202195.31,546829.91,19.24
687,202195.31,546739.91,23.96
688,202195.31,546649.91,28.48
689,202195.31,546559.91,31.87
690,202195.31,546469.91,36.23
691,202195.31,546379.91,41.14
692,202195.31,546289.91,54.24
693,202195.31,546199.91,59.4
694,202195.31,546109.91,49.38
695,202195.31,546019.91,38.51
696,202195.31,545929.91,32.66
697,202195.31,545839.91,28.75
698,202195.31,545749.91,26.39
699,202195.31,545659.91,21.59
700,202195.31,545569.91,17.33
701,202195.31,545479.91,15.33
702,202195.31,545389.91,14.81
703,202195.31,545299.91,15.57
704,202195.31,545209.91,17.79
705,202195.31,545119.91,20.19
706,202195.31,545029.91,21.65
707,202195.31,544939.91,20.61
708,202195.31,544849.91,18.28
709,202195.31,544759.91,16.31
710,202195.31,544669.91,15.5
711,202195.31,544579.91,15.04
712,202195.31,544489.91,14.72
713,202195.31,544399.91,14.89
714,202195.31,544309.91,14.25
715,202195.31,544219.91,12.83
716,202195.31,544129.91,12.74
717,202195.31,544039.91,13.82
718,202195.31,543949.91,14.66
719,202195.31,543859.91,15.24
720,202285.31,548899.91,4.84
721,202285.31,548809.91,4.88
722,202285.31,548719.91,4.9
723,202285.31,548629.91,4.9
724,202285.31,548539.91,4.85
725,202285.31,548449.91,4.76
726,202285.31,548359.91,7.38
727,202285.31,548269.91,14.58
728,202285.31,548179.91,19.17
729,202285.31,548089.91,19.45
730,202285.31,547999.91,19.67
731,202285.31,547909.91,20.86
732,202285.31,547819.91,21.1
733,202285.31,547729.91,20.2
734,202285.31,547639.91,19.34
