UFID,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037709007E0031771da1e3e13e4dd5,E0032111,S2118759,"384",384.00000000000,"2016","1124055",마천1동,574808.66543399997,"11710",송파구,"21004"
100037709006E0031a8a861b05e094e5d,E0032111,S2118759,"406",406.00000000000,"2016","1124082",위례동,2487597.40365000023,"11710",송파구,"28408"
100037709007E0031b88e512c2eb748b8,E0032111,S2111517,"384",384.00000000000,"2016","1124055",마천1동,574808.66543399997,"11710",송파구,"21004"
100037709007E003103a68d039e914064,E0032111,S2111517,"384",384.00000000000,"2016","1124055",마천1동,574808.66543399997,"11710",송파구,"21004"
100037709006E00311bb89af4727a4be7,E0032111,S2111517,"382",382.00000000000,"2016","1124053",거여1동,569700.89056700002,"11710",송파구,"13277"
100037709006E00311bb89af4727a4be7,E0032111,S2111517,"385",385.00000000000,"2016","1124056",마천2동,889992.82092800003,"11710",송파구,"20435"
100037709006E00311bb89af4727a4be7,E0032111,S2111517,"389",389.00000000000,"2016","1124060",오금동,1647586.07692999998,"11710",송파구,"41148"
100037709011E0031bd6d604fc18c47b6,E0032111,S2114746,"355",355.00000000000,"2016","1122066",양재1동,5760999.51078999974,"11650",서초구,"46231"
100037709012E00314449d21503d94a71,E0032111,S2114746,"355",355.00000000000,"2016","1122066",양재1동,5760999.51078999974,"11650",서초구,"46231"
100037709012E0031e108876d9064465f,E0032111,S2113273,"356",356.00000000000,"2016","1122067",양재2동,7556517.27448000014,"11650",서초구,"23382"
100037709011E00311d5b7a857c654d3c,E0032111,S2113273,"355",355.00000000000,"2016","1122066",양재1동,5760999.51078999974,"11650",서초구,"46231"
100037709005E0031a761abbcd8424d72,E0032111,S2113273,"375",375.00000000000,"2016","1123076",세곡동,6362857.31926999893,"11680",강남구,"45180"
100037709005E0031702704f1024d4bb1,E0032111,S2113273,"374",374.00000000000,"2016","1123075",수서동,1625358.09608000005,"11680",강남구,"16187"
100037709005E00316f8f7feb5c864465,E0032111,S2113273,"374",374.00000000000,"2016","1123075",수서동,1625358.09608000005,"11680",강남구,"16187"
100037709005E0031f78b77cbea964a0d,E0032111,S2113273,"395",395.00000000000,"2016","1124066",가락1동,1392151.31614000001,"11710",송파구,"26063"
100037709003E0031365ca4c56de0489f,E0032111,S2116502,"369",369.00000000000,"2016","1123068",개포1동,1448844.66333999997,"11680",강남구,"7076"
100037709003E0031aba3916bef6448a9,E0032111,S2116502,"369",369.00000000000,"2016","1123068",개포1동,1448844.66333999997,"11680",강남구,"7076"
100037709003E0031ec159059218e41c4,E0032111,S2116502,"369",369.00000000000,"2016","1123068",개포1동,1448844.66333999997,"11680",강남구,"7076"
100037709004E00315aacceb7313f471f,E0032111,S2116502,"371",371.00000000000,"2016","1123072",일원본동,2355605.06462999992,"11680",강남구,"24486"
