UFID,DIVI,QUAL,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037612019C0061035d028462414ea9,SUD003,SUQ000,C0062243,S2119515,"324",324.00000000000,"2016","1121062",인헌동,1088265.90537999989,"11620",관악구,"27297"
100037612019C0061ebe6adedfd874727,SUD003,SUQ000,C0062243,S2119515,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612018C0061a9c6723a7ee0494c,SUD003,SUQ000,C0062243,S2119515,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00611ea999e2a0054084,SUD003,SUQ000,C0062243,S2119515,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C0061445732431ad64011,SUD003,SUQ000,C0062243,S2119515,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612019C0061ba7755139ea64d32,SUD003,SUQ000,C0062243,S2119515,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C0061d229a4af9f784206,SUD003,SUQ000,C0062243,S2119515,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612018C0061dca229f304294c71,SUD003,SUQ000,C0062243,S2119515,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C00619254a4d051354424,SUD003,SUQ000,C0062243,S2119515,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C006118c8dfab63644b25,SUD003,SUQ000,C0062243,S2119515,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C006160ba202636e2469b,SUD003,SUQ000,C0062243,S2119515,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C0061d0b958b438144af1,SUD003,SUQ000,C0062243,S2119515,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00616bce93a6d6ba4709,SUD003,SUQ000,C0062243,S2119515,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C006147c0e4b9a5d746f3,SUD003,SUQ000,C0062243,S2113745,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00612572444090fb43f9,SUD003,SUQ000,C0062243,S2113745,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00610ccc90ec59dd4fee,SUD003,SUQ000,C0062243,S2113745,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00619ee736ef555441eb,SUD003,SUQ000,C0062243,S2113745,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061e406bfd803c74387,SUD003,SUQ000,C0062243,S2113745,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061f9429e17c5f3466c,SUD003,SUQ000,C0062243,S2113745,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00612abf3894e34b41c1,SUD003,SUQ000,C0062243,S2113745,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C006133b9d2e164794d36,SUD003,SUQ000,C0062243,S2113745,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061f287bf4fb4fb4a2f,SUD003,SUQ000,C0062243,S2113745,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061fbdc1d9e00304a1c,SUD003,SUQ000,C0062243,S2113745,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00614db9c08e1bb646c3,SUD003,SUQ000,C0062243,S2113745,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C006175a776ca47384de6,SUD003,SUQ000,C0062243,S2113745,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061f7e70b2d9e1345e3,SUD003,SUQ000,C0062243,S2113745,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
